Order,NumberDays,FY
1731782,21,FY16
1731788,28,FY16
1731789,28,FY16
1731790,28,FY16
1731791,28,FY16
1731792,28,FY16
1731793,28,FY16
1731794,28,FY16
1731795,28,FY16
1731796,28,FY16
1731797,28,FY16
1731798,28,FY16
1731799,28,FY16
1731805,21,FY16
1731806,21,FY16
1731807,21,FY16
1731808,21,FY16
1731813,21,FY16
1731814,21,FY16
1731867,119,FY16
1731868,35,FY16
1732360,29,FY16
1732361,29,FY16
1732362,29,FY16
1732363,29,FY16
1732364,29,FY16
1732365,29,FY16
1732366,29,FY16
1732367,29,FY16
1732368,29,FY16
1732369,29,FY16
1732370,29,FY16
1732371,29,FY16
1732372,29,FY16
1732373,29,FY16
1732374,29,FY16
1732375,29,FY16
1732376,29,FY16
1732377,29,FY16
1732378,29,FY16
1732379,29,FY16
1732380,29,FY16
1732381,29,FY16
1732382,29,FY16
1732383,29,FY16
1732384,29,FY16
1732385,29,FY16
1732386,29,FY16
1732387,29,FY16
1732388,29,FY16
1732389,29,FY16
1732390,29,FY16
1732391,29,FY16
1732392,29,FY16
1732393,29,FY16
1732394,29,FY16
1732395,29,FY16
1732396,29,FY16
1732397,29,FY16
1732398,29,FY16
1732399,29,FY16
1732400,29,FY16
1732401,29,FY16
1732402,29,FY16
1732403,29,FY16
1732404,29,FY16
1732405,29,FY16
1732406,29,FY16
1732407,29,FY16
1732408,29,FY16
1732409,29,FY16
1732410,29,FY16
1732411,29,FY16
1732412,29,FY16
1732413,29,FY16
1732414,29,FY16
1732415,29,FY16
1732416,29,FY16
1732417,29,FY16
1732418,29,FY16
1732419,36,FY16
1732420,36,FY16
1732421,36,FY16
1732422,36,FY16
1733119,155,FY16
1733152,28,FY16
1733153,28,FY16
1733154,28,FY16
1733155,28,FY16
1733156,28,FY16
1733157,28,FY16
1733158,28,FY16
1733159,28,FY16
1733160,28,FY16
1733161,28,FY16
1733162,28,FY16
1733163,28,FY16
1733164,28,FY16
1733165,28,FY16
1733166,28,FY16
1733167,28,FY16
1733168,28,FY16
1733169,28,FY16
1733170,28,FY16
1733171,28,FY16
1733172,28,FY16
1733173,28,FY16
1733174,28,FY16
1733175,28,FY16
1733176,28,FY16
1733177,28,FY16
1733178,28,FY16
1733179,28,FY16
1733180,28,FY16
1733181,28,FY16
1733182,28,FY16
1733183,28,FY16
1733184,28,FY16
1733185,28,FY16
1733186,28,FY16
1733187,28,FY16
1733188,28,FY16
1733189,28,FY16
1733190,28,FY16
1733191,28,FY16
1733192,28,FY16
1733193,28,FY16
1733194,28,FY16
1733195,28,FY16
1733196,28,FY16
1733197,28,FY16
1733198,28,FY16
1733199,28,FY16
1733200,28,FY16
1733201,28,FY16
1733202,28,FY16
1733203,28,FY16
1733204,28,FY16
1733205,28,FY16
1733206,28,FY16
1733207,28,FY16
1733208,28,FY16
1733209,28,FY16
1733210,28,FY16
1733211,28,FY16
1733212,28,FY16
1733213,28,FY16
1733214,28,FY16
1733215,28,FY16
1733255,28,FY16
1733256,28,FY16
1733375,7,FY16
1733395,84,FY16
1733479,77,FY16
1734313,7,FY16
1734314,7,FY16
1734347,63,FY16
1734523,14,FY16
1734524,14,FY16
1734525,14,FY16
1734526,14,FY16
1734527,14,FY16
1734528,14,FY16
1734529,14,FY16
1734530,14,FY16
1734531,14,FY16
1734532,14,FY16
1734533,14,FY16
1734534,14,FY16
1734535,14,FY16
1734536,14,FY16
1734537,14,FY16
1734538,7,FY16
1734539,7,FY16
1734540,7,FY16
1734541,7,FY16
1734542,7,FY16
1734543,7,FY16
1734544,7,FY16
1734548,14,FY16
1734549,14,FY16
1734550,14,FY16
1734551,14,FY16
1734552,14,FY16
1734553,14,FY16
1734554,14,FY16
1734555,14,FY16
1734556,14,FY16
1734557,14,FY16
1734558,14,FY16
1734559,14,FY16
1734560,14,FY16
1734561,14,FY16
1735567,49,FY16
1735567,49,FY16
1735567,49,FY16
1735567,210,FY16
1735567,210,FY16
1735567,210,FY16
1735567,140,FY16
1735567,140,FY16
1735567,140,FY16
1735957,56,FY16
1736636,28,FY16
1736637,28,FY16
1736638,28,FY16
1736639,28,FY16
1736640,28,FY16
1736641,28,FY16
1736642,28,FY16
1736643,28,FY16
1736644,28,FY16
1736645,28,FY16
1736646,28,FY16
1736647,28,FY16
1736648,28,FY16
1736649,28,FY16
1736650,28,FY16
1736651,28,FY16
1736652,28,FY16
1736653,28,FY16
1736654,28,FY16
1736655,28,FY16
1736656,28,FY16
1736657,28,FY16
1736658,28,FY16
1736659,28,FY16
1736660,28,FY16
1736661,28,FY16
1736662,28,FY16
1736663,28,FY16
1736664,28,FY16
1736665,28,FY16
1736666,28,FY16
1736667,28,FY16
1736668,28,FY16
1736669,28,FY16
1736670,28,FY16
1736671,28,FY16
1736672,28,FY16
1736673,28,FY16
1736674,28,FY16
1736675,28,FY16
1736676,28,FY16
1736677,28,FY16
1736678,28,FY16
1736679,28,FY16
1736680,28,FY16
1736681,28,FY16
1736682,28,FY16
1736683,28,FY16
1736684,28,FY16
1736685,28,FY16
1736686,28,FY16
1736687,28,FY16
1736688,28,FY16
1736689,203,FY16
1736689,203,FY16
1736689,28,FY16
1736689,28,FY16
1736690,28,FY16
1736691,28,FY16
1736692,28,FY16
1736693,28,FY16
1736694,28,FY16
1736695,28,FY16
1736696,28,FY16
1736697,28,FY16
1736698,28,FY16
1736699,28,FY16
1736700,28,FY16
1736701,28,FY16
1736702,28,FY16
1736703,28,FY16
1736704,28,FY16
1736705,28,FY16
1736706,28,FY16
1736707,28,FY16
1736708,28,FY16
1736709,28,FY16
1736709,28,FY16
1736709,21,FY16
1736709,21,FY16
1736710,21,FY16
1736711,21,FY16
1736712,21,FY16
1736713,21,FY16
1736714,21,FY16
1736715,21,FY16
1736716,21,FY16
1736717,21,FY16
1736718,21,FY16
1736719,21,FY16
1736720,21,FY16
1736721,21,FY16
1736722,21,FY16
1736723,21,FY16
1736724,21,FY16
1736725,21,FY16
1736726,21,FY16
1736727,21,FY16
1736728,21,FY16
1736729,21,FY16
1736730,21,FY16
1736731,21,FY16
1736732,21,FY16
1736733,21,FY16
1736734,21,FY16
1736735,21,FY16
1736736,21,FY16
1736737,21,FY16
1736738,21,FY16
1736739,28,FY16
1736740,28,FY16
1736741,28,FY16
1736742,28,FY16
1736743,28,FY16
1736744,28,FY16
1736745,28,FY16
1736746,28,FY16
1736747,28,FY16
1736748,28,FY16
1736749,28,FY16
1736750,28,FY16
1737007,42,FY16
1737811,21,FY16
1737812,21,FY16
1737813,21,FY16
1737814,21,FY16
1737815,21,FY16
1737816,21,FY16
1737817,21,FY16
1737818,21,FY16
1737819,21,FY16
1737820,21,FY16
1737821,21,FY16
1737822,21,FY16
1737823,21,FY16
1737824,21,FY16
1737825,21,FY16
1737826,21,FY16
1737827,21,FY16
1737828,21,FY16
1737829,21,FY16
1737830,21,FY16
1737831,21,FY16
1737832,21,FY16
1737833,21,FY16
1737834,21,FY16
1737835,21,FY16
1737836,21,FY16
1737837,21,FY16
1737838,21,FY16
1737839,21,FY16
1737840,21,FY16
1737841,21,FY16
1737842,21,FY16
1737843,21,FY16
1737844,21,FY16
1737845,21,FY16
1737846,21,FY16
1737847,21,FY16
1737848,21,FY16
1737849,21,FY16
1737850,21,FY16
1737851,21,FY16
1737852,21,FY16
1737853,21,FY16
1737854,21,FY16
1737855,21,FY16
1737856,21,FY16
1737857,21,FY16
1737858,21,FY16
1737859,21,FY16
1737860,21,FY16
1737861,21,FY16
1737862,21,FY16
1737863,21,FY16
1737864,21,FY16
1737866,21,FY16
1737867,21,FY16
1737868,21,FY16
1737869,21,FY16
1737870,21,FY16
1737871,21,FY16
1737872,21,FY16
1737873,21,FY16
1737874,21,FY16
1737875,21,FY16
1737876,21,FY16
1737877,21,FY16
1737878,21,FY16
1737879,21,FY16
1737880,21,FY16
1737881,21,FY16
1737882,21,FY16
1738900,28,FY16
1738901,28,FY16
1738902,28,FY16
1738903,28,FY16
1738904,28,FY16
1738905,28,FY16
1738906,28,FY16
1738907,28,FY16
1738908,28,FY16
1738909,28,FY16
1738910,28,FY16
1738911,28,FY16
1738912,28,FY16
1738913,28,FY16
1738914,28,FY16
1738915,28,FY16
1738916,28,FY16
1738917,28,FY16
1738918,28,FY16
1738919,28,FY16
1738920,28,FY16
1738921,28,FY16
1738922,28,FY16
1738923,28,FY16
1738924,28,FY16
1738925,28,FY16
1738926,28,FY16
1738927,28,FY16
1738928,28,FY16
1738929,28,FY16
1738930,28,FY16
1738931,28,FY16
1738932,28,FY16
1738933,28,FY16
1738934,28,FY16
1738935,28,FY16
1738936,28,FY16
1738937,28,FY16
1738938,28,FY16
1738939,28,FY16
1738940,28,FY16
1738941,21,FY16
1738942,21,FY16
1738943,21,FY16
1738944,21,FY16
1738945,21,FY16
1738946,21,FY16
1738947,21,FY16
1738948,28,FY16
1738949,28,FY16
1738950,28,FY16
1738951,28,FY16
1738952,28,FY16
1738953,28,FY16
1738954,28,FY16
1738955,28,FY16
1738956,28,FY16
1738957,28,FY16
1738958,28,FY16
1738959,28,FY16
1738960,28,FY16
1738961,28,FY16
1738962,28,FY16
1738963,28,FY16
1738964,28,FY16
1738965,28,FY16
1738966,28,FY16
1738967,28,FY16
1738968,28,FY16
1738969,28,FY16
1738970,28,FY16
1738971,28,FY16
1738972,28,FY16
1738973,28,FY16
1738974,28,FY16
1738975,28,FY16
1738976,28,FY16
1738977,28,FY16
1738978,28,FY16
1738979,28,FY16
1738980,28,FY16
1738981,28,FY16
1738982,28,FY16
1738983,28,FY16
1738984,28,FY16
1738985,28,FY16
1738986,28,FY16
1738987,28,FY16
1738988,28,FY16
1738989,28,FY16
1738990,28,FY16
1738991,28,FY16
1738992,28,FY16
1738993,28,FY16
1738994,28,FY16
1738995,28,FY16
1738996,28,FY16
1738997,28,FY16
1738998,28,FY16
1738999,28,FY16
1739000,28,FY16
1739001,28,FY16
1739002,28,FY16
1739003,28,FY16
1739004,28,FY16
1739005,28,FY16
1739732,28,FY16
1739733,28,FY16
1739734,28,FY16
1739735,28,FY16
1739736,28,FY16
1739737,28,FY16
1739738,28,FY16
1739739,28,FY16
1739740,28,FY16
1739741,28,FY16
1739742,28,FY16
1739743,28,FY16
1739744,28,FY16
1739745,28,FY16
1739746,28,FY16
1739747,28,FY16
1739748,28,FY16
1739749,28,FY16
1739750,28,FY16
1739751,28,FY16
1739752,28,FY16
1739753,28,FY16
1739754,28,FY16
1739755,28,FY16
1739756,28,FY16
1739757,28,FY16
1739758,28,FY16
1739759,28,FY16
1739760,28,FY16
1739761,28,FY16
1739762,28,FY16
1739763,28,FY16
1739764,28,FY16
1739765,28,FY16
1739766,28,FY16
1739767,28,FY16
1739768,28,FY16
1739769,28,FY16
1739770,28,FY16
1739771,28,FY16
1739772,28,FY16
1739773,28,FY16
1739774,28,FY16
1739775,28,FY16
1739776,28,FY16
1739777,28,FY16
1739778,28,FY16
1739779,28,FY16
1739780,28,FY16
1739781,28,FY16
1739782,28,FY16
1739783,28,FY16
1739784,28,FY16
1739785,28,FY16
1739786,28,FY16
1739787,28,FY16
1739788,28,FY16
1739789,28,FY16
1739790,28,FY16
1739791,28,FY16
1739792,28,FY16
1739793,28,FY16
1739794,42,FY16
1739795,42,FY16
1739796,42,FY16
1739797,42,FY16
1739798,42,FY16
1739799,42,FY16
1739800,42,FY16
1739802,42,FY16
1739803,42,FY16
1739804,42,FY16
1739805,42,FY16
1739806,42,FY16
1739807,42,FY16
1739808,42,FY16
1739809,42,FY16
1739810,42,FY16
1739811,42,FY16
1739812,42,FY16
1739813,42,FY16
1739814,42,FY16
1739815,42,FY16
1739816,42,FY16
1739817,42,FY16
1739818,42,FY16
1739819,42,FY16
1739820,42,FY16
1739821,42,FY16
1739822,42,FY16
1739823,42,FY16
1739824,42,FY16
1739825,42,FY16
1739826,42,FY16
1739827,42,FY16
1739828,42,FY16
1739829,42,FY16
1739830,21,FY16
1739831,21,FY16
1739832,21,FY16
1739833,21,FY16
1739834,21,FY16
1739835,21,FY16
1739836,21,FY16
1739837,21,FY16
1739838,21,FY16
1739839,21,FY16
1739840,21,FY16
1740657,63,FY16
1740869,35,FY16
1740874,35,FY16
1741564,0,FY16
1741888,20,FY16
1741889,20,FY16
1741890,20,FY16
1741891,20,FY16
1741892,20,FY16
1741893,20,FY16
1741894,20,FY16
1741895,20,FY16
1741896,20,FY16
1741897,20,FY16
1741898,20,FY16
1741899,20,FY16
1741900,20,FY16
1741901,20,FY16
1741902,20,FY16
1741903,20,FY16
1741904,20,FY16
1741905,20,FY16
1741906,20,FY16
1741907,20,FY16
1741908,20,FY16
1741909,20,FY16
1741910,20,FY16
1741911,20,FY16
1741912,14,FY16
1741913,14,FY16
1741914,14,FY16
1741915,14,FY16
1741916,14,FY16
1741917,14,FY16
1741918,14,FY16
1741919,14,FY16
1741920,14,FY16
1741921,14,FY16
1741922,14,FY16
1741923,14,FY16
1741924,14,FY16
1741925,14,FY16
1741926,14,FY16
1741927,14,FY16
1741928,14,FY16
1741929,14,FY16
1741930,14,FY16
1741931,14,FY16
1741932,14,FY16
1741933,14,FY16
1741934,14,FY16
1741935,14,FY16
1741936,14,FY16
1741937,14,FY16
1741938,14,FY16
1741939,14,FY16
1741940,14,FY16
1741941,14,FY16
1741942,14,FY16
1741943,14,FY16
1741944,14,FY16
1741945,14,FY16
1741946,14,FY16
1741947,14,FY16
1741948,14,FY16
1741949,14,FY16
1741950,14,FY16
1741951,14,FY16
1741952,14,FY16
1741953,14,FY16
1741954,20,FY16
1741955,20,FY16
1741956,20,FY16
1741957,20,FY16
1741958,20,FY16
1741959,20,FY16
1741960,20,FY16
1741961,20,FY16
1741962,20,FY16
1741963,20,FY16
1741964,20,FY16
1741965,20,FY16
1741966,20,FY16
1741967,20,FY16
1741968,20,FY16
1741969,20,FY16
1741970,20,FY16
1741971,20,FY16
1741972,20,FY16
1741973,20,FY16
1741974,20,FY16
1741975,20,FY16
1741976,20,FY16
1741977,20,FY16
1741978,20,FY16
1741979,20,FY16
1741980,20,FY16
1741981,20,FY16
1741982,20,FY16
1741983,20,FY16
1741984,20,FY16
1741985,20,FY16
1741986,20,FY16
1741987,20,FY16
1741988,20,FY16
1741989,20,FY16
1741990,20,FY16
1741991,20,FY16
1742003,28,FY16
1742004,28,FY16
1742005,28,FY16
1742006,28,FY16
1742007,28,FY16
1742008,28,FY16
1742009,28,FY16
1742010,28,FY16
1742011,28,FY16
1742012,28,FY16
1742013,28,FY16
1742014,28,FY16
1742015,28,FY16
1742016,28,FY16
1742017,28,FY16
1742018,28,FY16
1742019,28,FY16
1742020,28,FY16
1742021,28,FY16
1742022,28,FY16
1742023,28,FY16
1742024,28,FY16
1742025,28,FY16
1742026,28,FY16
1742027,34,FY16
1742028,34,FY16
1742029,34,FY16
1742030,34,FY16
1742031,34,FY16
1742032,34,FY16
1742033,34,FY16
1742034,34,FY16
1742035,34,FY16
1742036,34,FY16
1742037,34,FY16
1742038,34,FY16
1742039,34,FY16
1742040,34,FY16
1742041,34,FY16
1742042,34,FY16
1742043,34,FY16
1742044,34,FY16
1742045,34,FY16
1742046,34,FY16
1742047,34,FY16
1742048,34,FY16
1742049,34,FY16
1742050,34,FY16
1742051,34,FY16
1742052,34,FY16
1742053,34,FY16
1742054,34,FY16
1742055,34,FY16
1742056,34,FY16
1742057,34,FY16
1742058,34,FY16
1742059,34,FY16
1742060,34,FY16
1742061,34,FY16
1742062,34,FY16
1742063,34,FY16
1742064,34,FY16
1742065,34,FY16
1742066,34,FY16
1742067,34,FY16
1742068,34,FY16
1742069,34,FY16
1742070,34,FY16
1742071,34,FY16
1742072,34,FY16
1742073,34,FY16
1742074,34,FY16
1742107,7,FY16
1742671,98,FY16
1743016,42,FY16
1743017,42,FY16
1743018,42,FY16
1743019,42,FY16
1743020,42,FY16
1743021,42,FY16
1743022,42,FY16
1743023,42,FY16
1743024,42,FY16
1743025,42,FY16
1743026,42,FY16
1743027,42,FY16
1743028,42,FY16
1743029,42,FY16
1743030,42,FY16
1743031,42,FY16
1743032,42,FY16
1743033,42,FY16
1743034,42,FY16
1743035,42,FY16
1743036,42,FY16
1743037,42,FY16
1743038,42,FY16
1743039,42,FY16
1743040,42,FY16
1743041,42,FY16
1743042,42,FY16
1743043,42,FY16
1743044,42,FY16
1743045,42,FY16
1743046,42,FY16
1743047,42,FY16
1743048,42,FY16
1743049,42,FY16
1743050,42,FY16
1743051,42,FY16
1743052,42,FY16
1743053,42,FY16
1743054,42,FY16
1743055,21,FY16
1743056,21,FY16
1743057,21,FY16
1743058,42,FY16
1743059,42,FY16
1743060,42,FY16
1743061,42,FY16
1743062,42,FY16
1743063,42,FY16
1743064,42,FY16
1743065,42,FY16
1743066,42,FY16
1743067,42,FY16
1743068,42,FY16
1743069,42,FY16
1743070,42,FY16
1743071,42,FY16
1743072,42,FY16
1743073,42,FY16
1743074,42,FY16
1743075,42,FY16
1743076,42,FY16
1743077,42,FY16
1743080,35,FY16
1743081,35,FY16
1743082,35,FY16
1743083,35,FY16
1743084,35,FY16
1743085,35,FY16
1743086,35,FY16
1743087,35,FY16
1743088,35,FY16
1743090,35,FY16
1743092,21,FY16
1743093,21,FY16
1743094,42,FY16
1743313,0,FY16
1743313,0,FY16
1743313,175,FY16
1743313,175,FY16
1743313,210,FY16
1743313,210,FY16
1743360,119,FY16
1743361,119,FY16
1743362,71,FY16
1743363,91,FY16
1743366,71,FY16
1743367,71,FY16
1743368,71,FY16
1743369,71,FY16
1743370,91,FY16
1743371,71,FY16
1743372,98,FY16
1743373,71,FY16
1743458,91,FY16
1743463,64,FY16
1743827,28,FY16
1743828,28,FY16
1743829,28,FY16
1743830,28,FY16
1743831,28,FY16
1743832,28,FY16
1743833,28,FY16
1743834,28,FY16
1743835,28,FY16
1743836,28,FY16
1743837,28,FY16
1743838,28,FY16
1743839,28,FY16
1743840,28,FY16
1743841,28,FY16
1743842,28,FY16
1743843,28,FY16
1743844,28,FY16
1743845,28,FY16
1743846,28,FY16
1743847,28,FY16
1743848,28,FY16
1743849,28,FY16
1743850,28,FY16
1743851,28,FY16
1743852,28,FY16
1743853,28,FY16
1743854,28,FY16
1743855,28,FY16
1743856,28,FY16
1743857,28,FY16
1743858,28,FY16
1743859,28,FY16
1743860,20,FY16
1743861,20,FY16
1743862,20,FY16
1743863,20,FY16
1743864,20,FY16
1743865,20,FY16
1743866,20,FY16
1743867,20,FY16
1743868,20,FY16
1743869,20,FY16
1743870,20,FY16
1743871,20,FY16
1743872,20,FY16
1743873,20,FY16
1743874,20,FY16
1743875,35,FY16
1743876,35,FY16
1743877,35,FY16
1743878,35,FY16
1743879,35,FY16
1743880,35,FY16
1743881,35,FY16
1743882,35,FY16
1743883,35,FY16
1743885,35,FY16
1743886,35,FY16
1744090,35,FY16
1744120,64,FY16
1744204,155,FY16
1744416,58,FY16
1744417,58,FY16
1744418,58,FY16
1744419,58,FY16
1744420,58,FY16
1744421,58,FY16
1744422,58,FY16
1744423,58,FY16
1744424,58,FY16
1744425,58,FY16
1744426,58,FY16
1744427,58,FY16
1744428,58,FY16
1744429,58,FY16
1744430,58,FY16
1744431,58,FY16
1744432,58,FY16
1744433,58,FY16
1744434,58,FY16
1744435,58,FY16
1744436,58,FY16
1744437,58,FY16
1744438,58,FY16
1744439,58,FY16
1744440,58,FY16
1744441,58,FY16
1744442,58,FY16
1744443,58,FY16
1744444,58,FY16
1744445,58,FY16
1744446,58,FY16
1744447,58,FY16
1744448,36,FY16
1744449,36,FY16
1744450,36,FY16
1744451,36,FY16
1744452,36,FY16
1744453,36,FY16
1744454,36,FY16
1744455,36,FY16
1744456,36,FY16
1744457,36,FY16
1744458,36,FY16
1744459,36,FY16
1744460,36,FY16
1744461,36,FY16
1744462,36,FY16
1744463,36,FY16
1744464,36,FY16
1744465,36,FY16
1744466,36,FY16
1744467,36,FY16
1744468,36,FY16
1744469,36,FY16
1744470,36,FY16
1744471,36,FY16
1744472,36,FY16
1744473,58,FY16
1744474,58,FY16
1744475,58,FY16
1744476,58,FY16
1744477,58,FY16
1744478,58,FY16
1744479,58,FY16
1744481,58,FY16
1744482,58,FY16
1744483,58,FY16
1744484,58,FY16
1744485,58,FY16
1744486,58,FY16
1744487,58,FY16
1744488,58,FY16
1744489,58,FY16
1744490,58,FY16
1744491,58,FY16
1744492,58,FY16
1744494,36,FY16
1744495,36,FY16
1744496,36,FY16
1744497,36,FY16
1744498,36,FY16
1744499,36,FY16
1744500,36,FY16
1744501,36,FY16
1744502,36,FY16
1744503,36,FY16
1744504,36,FY16
1744505,36,FY16
1744506,36,FY16
1744507,36,FY16
1744508,36,FY16
1744509,36,FY16
1744510,36,FY16
1744511,36,FY16
1744512,36,FY16
1744516,36,FY16
1744517,36,FY16
1744518,36,FY16
1744657,50,FY16
1744662,63,FY16
1744662,63,FY16
1744662,70,FY16
1744662,70,FY16
1745023,50,FY16
1745024,50,FY16
1745090,50,FY16
1745092,70,FY16
1745094,50,FY16
1745095,98,FY16
1745097,50,FY16
1745107,77,FY16
1745150,28,FY16
1745151,28,FY16
1745152,28,FY16
1745153,28,FY16
1745154,28,FY16
1745155,28,FY16
1745156,28,FY16
1745157,28,FY16
1745158,28,FY16
1745159,28,FY16
1745160,28,FY16
1745161,28,FY16
1745162,28,FY16
1745163,28,FY16
1745164,28,FY16
1745165,28,FY16
1745166,28,FY16
1745167,28,FY16
1745168,28,FY16
1745169,28,FY16
1745170,28,FY16
1745171,28,FY16
1745172,28,FY16
1745173,28,FY16
1745174,28,FY16
1745175,28,FY16
1745176,28,FY16
1745177,28,FY16
1745178,28,FY16
1745179,28,FY16
1745180,28,FY16
1745181,28,FY16
1745182,28,FY16
1745183,28,FY16
1745184,28,FY16
1745185,28,FY16
1745186,28,FY16
1745187,28,FY16
1745188,28,FY16
1745189,28,FY16
1745190,28,FY16
1745191,28,FY16
1745192,28,FY16
1745193,28,FY16
1745194,28,FY16
1745195,28,FY16
1745196,28,FY16
1745197,28,FY16
1745198,28,FY16
1745199,28,FY16
1745200,28,FY16
1745201,28,FY16
1745202,28,FY16
1745203,28,FY16
1745204,28,FY16
1745205,28,FY16
1745206,28,FY16
1745207,28,FY16
1745208,28,FY16
1745209,28,FY16
1745210,28,FY16
1745211,28,FY16
1745212,28,FY16
1745213,28,FY16
1745801,64,FY16
1745886,57,FY16
1746156,64,FY16
1746282,44,FY16
1746283,44,FY16
